p1 p2 p3 <I> <I^2> <S> <R> <I_err>
0.55 0.5 0.25 0.1625996 0.02662998992 0.5118396000000001 0.3255608 3.2085351370542337e-09
0.55 0.5 0.30000000000000004 0.19078160000000002 0.03658596832 0.49076400000000003 0.31845439999999997 3.394978524194534e-09
0.55 0.5 0.35000000000000003 0.22019039999999998 0.048642468480000006 0.4657812 0.31402840000000004 2.917897799925182e-09
0.55 0.5 0.4 0.2411224 0.05831670816 0.458388 0.3004896 3.2499508168628735e-09
0.55 0.5 0.45 0.25837119999999997 0.06693136224 0.45369 0.2879388 3.0403203516565535e-09
0.55 0.5 0.5 0.2758548 0.07628253071999999 0.4485892 0.27555599999999997 3.3493850552953938e-09
0.55 0.5 0.55 0.2908184 0.08473264512 0.443576 0.2656056 2.998513778338976e-09
0.55 0.5 0.6000000000000001 0.30371 0.09239440048 0.4430636 0.25322639999999996 2.995111966407673e-09
0.55 0.5 0.65 0.31465679999999996 0.09917208672000001 0.4437224 0.2416208 2.9994462969948645e-09
0.55 0.5 0.7000000000000001 0.3244092 0.10538263984 0.4434004 0.23219040000000002 2.4977384973110915e-09
0.55 0.5 0.75 0.3341132 0.11177483727999998 0.4430132 0.2228736 2.5967845465446164e-09
0.55 0.5 0.8 0.34235400000000005 0.11734963791999999 0.44346680000000005 0.2141792 2.359795814856129e-09
0.55 0.5 0.8500000000000001 0.3501472 0.12274707616000001 0.4442584 0.2055944 2.829095819391633e-09
0.55 0.5 0.9 0.356626 0.12732809903999998 0.44490840000000004 0.1984656 2.4460349847933445e-09
0.55 0.5 0.9500000000000001 0.36188239999999994 0.13109221312 0.44730919999999996 0.19080840000000002 2.2227238267565254e-09
0.55 0.5 1.0 0.3679388 0.13552489136 0.447848 0.1842132 2.640296209104405e-09
0.6000000000000001 0.5 0.0 0.0 0.0 0.1068 0.8932 0.0
0.6000000000000001 0.5 0.05 0.0 0.0 0.9998216 0.0001784 0.0
0.6000000000000001 0.5 0.1 0.0537488 0.0031217510399999997 0.6797504 0.26650080000000004 3.876917153750723e-09
0.6000000000000001 0.5 0.15000000000000002 0.0978188 0.00982109328 0.5755408 0.3266404 4.0348065810093615e-09
0.6000000000000001 0.5 0.2 0.1400192 0.01984007552 0.5095872 0.35039359999999997 3.796481383184801e-09
0.6000000000000001 0.5 0.25 0.17730760000000004 0.03165210864 0.4683564 0.35433599999999993 3.717250002919743e-09
0.6000000000000001 0.5 0.30000000000000004 0.20817000000000002 0.04352383696 0.4453372 0.3464928 3.4927431862254285e-09
0.6000000000000001 0.5 0.35000000000000003 0.2341556 0.05497786064 0.43141519999999994 0.3344292 2.6553083404740233e-09
0.6000000000000001 0.5 0.4 0.25847879999999995 0.06698817328 0.41860040000000004 0.3229208 3.003983583308095e-09
0.6000000000000001 0.5 0.45 0.278418 0.07767274576 0.41289 0.308692 2.8047046968812105e-09
0.6000000000000001 0.5 0.5 0.29324839999999996 0.08616474672 0.4136724 0.29307920000000004 3.1629336356844685e-09
0.6000000000000001 0.5 0.55 0.3093392 0.09582266368 0.40984799999999993 0.2808128 2.230886477289119e-09
