p1 p2 p3 <I> <I^2> <S> <R> <I_err>
0.6000000000000001 0.5 0.6000000000000001 0.3218932 0.10376428816000001 0.409682 0.2684248 2.500707499122902e-09
0.6000000000000001 0.5 0.65 0.33314879999999997 0.11113423328 0.4104348 0.25641639999999993 2.712734334877379e-09
0.6000000000000001 0.5 0.7000000000000001 0.3442432 0.11865310272 0.4094328 0.24632400000000002 2.5911584497245e-09
0.6000000000000001 0.5 0.75 0.3530616 0.12480696000000001 0.41066880000000006 0.2362696 2.57952889042155e-09
0.6000000000000001 0.5 0.8 0.3617284 0.13098826864 0.4125356 0.225736 2.4800821863654226e-09
0.6000000000000001 0.5 0.8500000000000001 0.36910879999999996 0.13638151328 0.4128 0.21809119999999999 2.4973503328425705e-09
0.6000000000000001 0.5 0.9 0.3773816 0.14254977088 0.41378319999999996 0.2088352 2.363882730271194e-09
0.6000000000000001 0.5 0.9500000000000001 0.38437239999999995 0.14787821775999999 0.413692 0.20193560000000002 2.4191713831947047e-09
0.6000000000000001 0.5 1.0 0.3893196 0.15171449328 0.41622719999999996 0.19445320000000002 2.419718345508095e-09
0.65 0.5 0.0 0.0 0.0 0.09840000000000002 0.9016000000000002 0.0
0.65 0.5 0.05 0.0 0.0 0.9999156 8.44e-05 0.0
0.65 0.5 0.1 0.0624888 0.0041653926400000004 0.6257079999999999 0.31180319999999995 4.4878882165634325e-09
0.65 0.5 0.15000000000000002 0.1079432 0.011856485760000002 0.5312348000000001 0.360822 3.9811815417032976e-09
0.65 0.5 0.2 0.1526612 0.02348042672 0.4648404 0.3824984 2.918458413111984e-09
0.65 0.5 0.25 0.1889776 0.03589383904 0.43356 0.3774624 3.3865913925887008e-09
0.65 0.5 0.30000000000000004 0.2204596 0.048755525919999994 0.4115692 0.3679712 2.8257345492380076e-09
0.65 0.5 0.35000000000000003 0.24833120000000003 0.0618193344 0.3963996 0.3552692 2.77306670542986e-09
0.65 0.5 0.4 0.2721116 0.07420114704 0.3884736 0.3394148 2.917125004674232e-09
0.65 0.5 0.45 0.2906384000000001 0.08461917152 0.3846052 0.3247564 2.6321414121803197e-09
0.65 0.5 0.5 0.309376 0.09586964544 0.3813892 0.3092348 2.8640903705944488e-09
0.65 0.5 0.55 0.3240224 0.1051560512 0.38176319999999997 0.2942144 3.2944851127502347e-09
0.65 0.5 0.6000000000000001 0.33673559999999997 0.11355208784 0.38144439999999996 0.28181999999999996 2.7690705516664108e-09
0.65 0.5 0.65 0.349476 0.12228381056000001 0.382004 0.26852 2.8117529852546065e-09
0.65 0.5 0.7000000000000001 0.36037280000000005 0.13000893152 0.38201320000000005 0.25761399999999995 2.7771514365656514e-09
0.65 0.5 0.75 0.3694828 0.13666251312 0.3841188 0.2463984 2.4454862421956436e-09
0.65 0.5 0.8 0.3789552 0.14375277056 0.3841264 0.23691840000000003 2.4725043826233185e-09
0.65 0.5 0.8500000000000001 0.386482 0.14951942352 0.385442 0.228076 2.696697049914819e-09
0.65 0.5 0.9 0.39418960000000003 0.15552129856 0.38713159999999996 0.2186788 2.3979202440269627e-09
